Car: 107, distance: 0.94km, time: 4.44min, steps: 2665
Car: 108, distance: 1.92km, time: 5.28min, steps: 3169
Car: 109, distance: 0.95km, time: 3.03min, steps: 1819
Car: 110, distance: 0.95km, time: 1.95min, steps: 1170
Car: 111, distance: 0.97km, time: 3.44min, steps: 2065
Car: 112, distance: 3.71km, time: 9.13min, steps: 5479
Car: 113, distance: 1.33km, time: 10.06min, steps: 6035
Car: 114, distance: 1.33km, time: 9.33min, steps: 5599
Car: 115, distance: 0.54km, time: 3.90min, steps: 2341
Car: 116, distance: 0.54km, time: 1.76min, steps: 1057
Car: 117, distance: 0.54km, time: 1.41min, steps: 844
Car: 118, distance: 0.54km, time: 1.05min, steps: 630
Car: 119, distance: 1.51km, time: 6.77min, steps: 4060
Car: 120, distance: 1.13km, time: 6.55min, steps: 3927
Car: 121, distance: 1.26km, time: 10.91min, steps: 6548
Car: 122, distance: 1.26km, time: 9.45min, steps: 5669
Car: 123, distance: 0.92km, time: 5.44min, steps: 3265
Car: 124, distance: 0.92km, time: 3.66min, steps: 2195
Car: 125, distance: 0.92km, time: 2.95min, steps: 1767
Car: 126, distance: 1.04km, time: 4.81min, steps: 2883
Car: 127, distance: 1.05km, time: 5.21min, steps: 3126
Car: 128, distance: 1.05km, time: 1.29min, steps: 773
Car: 129, distance: 1.79km, time: 15.19min, steps: 9116
Car: 130, distance: 1.79km, time: 11.15min, steps: 6691
Car: 131, distance: 1.79km, time: 8.59min, steps: 5152
Car: 132, distance: 1.79km, time: 7.86min, steps: 4717
Car: 133, distance: 1.23km, time: 2.91min, steps: 1748
Car: 134, distance: 1.26km, time: 4.39min, steps: 2635
Car: 135, distance: 1.26km, time: 3.68min, steps: 2208
Car: 136, distance: 1.05km, time: 1.27min, steps: 764
Car: 137, distance: 0.92km, time: 1.15min, steps: 689
Car: 138, distance: 1.09km, time: 7.97min, steps: 4783
Car: 139, distance: 0.82km, time: 4.12min, steps: 2469
Car: 140, distance: 1.19km, time: 7.69min, steps: 4613
Car: 141, distance: 1.19km, time: 6.59min, steps: 3956
Car: 142, distance: 0.92km, time: 4.54min, steps: 2725
Car: 143, distance: 0.92km, time: 3.83min, steps: 2297
Car: 144, distance: 0.92km, time: 3.47min, steps: 2083
Car: 145, distance: 4.50km, time: 13.65min, steps: 8187
